허풍	0	0	0	0	0	0	0	0	0	0
주판	0	0	0	0	0	0	0	0	0	1
버리다	0	1	0	0	0	1	0	1	0	0
버려진	0	1	1	0	0	1	0	1	0	0
포기	0	1	1	0	0	1	0	1	1	0
약화시키다	0	0	0	0	0	0	0	0	0	0
감소	0	0	0	0	0	0	0	0	0	0
아바	1	0	0	0	0	0	0	0	0	0
대 수도 원장	0	0	0	0	0	0	0	0	0	1
줄여 쓰다	0	0	0	0	0	0	0	0	0	0
약어	0	0	0	0	0	0	0	0	0	0
복부	0	0	0	0	0	0	0	0	0	0
복부의	0	0	0	0	0	0	0	0	0	0
유 괴	0	1	0	0	0	1	0	1	1	0
이상한	0	1	0	0	0	0	0	0	0	0
수차	0	1	0	0	1	0	0	0	0	0
중지	0	0	0	0	0	0	0	0	0	0
싫어하다	0	1	1	0	1	1	0	0	0	0
혐오스러운	0	1	1	0	1	1	0	0	0	0
머물다	0	0	0	0	0	0	0	0	0	0
능력	1	0	0	0	0	0	0	0	0	0
비열한	0	1	0	0	1	0	0	0	0	0
제거	0	0	0	0	0	0	0	0	0	0
불타는	0	0	0	0	0	0	0	0	0	0
비정상적인	0	1	0	0	1	0	0	0	0	0
배로	0	0	0	0	0	0	0	0	0	0
주소	0	0	0	0	0	0	0	0	0	0
폐하다	0	1	1	0	0	0	0	0	0	0
폐지	0	1	0	0	0	0	0	0	0	0
가증스러운	0	1	0	0	1	1	0	0	0	0
질색	0	1	1	0	1	1	0	0	0	0
원주민	0	0	0	0	0	0	0	0	0	0
중단하다	0	1	0	0	0	0	0	0	0	0
유산	0	1	0	0	1	1	0	1	0	0
불완전한	0	1	0	0	0	0	0	1	0	0
많이 있다	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	1	0	0	0	0	0	0	0	0	0
연마	0	1	0	0	0	0	0	0	0	0
널리	0	0	0	0	0	0	0	0	0	0
폐지하다	0	1	0	0	0	0	0	0	0	0
험준한	0	0	0	0	0	0	0	0	1	0
갑자기	0	0	0	0	0	0	0	0	0	0
농양	0	1	0	0	0	0	0	1	0	0
부재	0	1	0	0	0	1	0	1	0	0
없는	0	1	0	0	0	0	0	1	0	0
부재자	0	1	0	0	0	0	0	1	0	0
장기 결석	0	1	0	0	0	0	0	0	0	0
압생트	0	0	0	0	0	0	0	0	0	0
순수한	1	0	0	0	0	0	0	0	0	0
사면	1	0	0	0	0	0	1	0	0	1
흡수 된	1	0	0	0	0	0	0	0	0	0
흡착제	0	0	0	0	0	0	0	0	0	0
흡수하는	0	0	0	0	0	0	0	0	0	0
흡수	0	0	0	0	0	0	0	0	0	0
기권하다	0	0	0	0	0	0	0	0	0	0
기권	0	0	0	0	0	0	0	0	0	0
절제	0	0	0	0	0	0	0	0	0	0
추상	0	0	0	0	0	0	0	0	0	0
추출	0	0	0	0	0	0	0	0	0	0
불합리한	0	1	0	0	0	0	0	0	0	0
부조리	0	1	0	0	0	0	0	0	0	0
풍부	1	1	0	1	1	0	1	0	0	1
풍부한	1	0	0	0	0	0	1	0	0	0
남용	0	1	1	0	1	1	0	1	0	0
인접	0	0	0	0	0	0	0	0	0	0
NO TRANSLATION	0	0	0	0	0	0	0	0	0	0
최악의	0	1	0	0	0	0	0	1	0	0
심연	0	1	0	0	0	1	0	1	0	0
학생	1	0	0	0	0	0	0	0	0	1
학원	1	0	0	0	0	0	0	0	0	0
액트	0	0	0	0	0	0	0	0	0	0
가속하다	0	0	0	1	0	0	0	0	0	0
가속	0	0	0	0	0	0	0	0	0	0
악센트	0	0	0	0	0	0	0	0	0	0
강조하다	0	0	0	0	0	0	0	0	0	0
받아 들인다	0	0	0	0	0	0	0	0	0	0
수용 가능한	1	0	0	0	0	0	0	0	0	0
수락	1	0	0	0	0	0	0	0	0	0
접속하다	0	0	0	0	0	0	0	0	0	0
얻기 쉬운	1	0	0	0	0	0	0	0	0	0
가입	0	0	0	0	0	0	0	0	0	0
종범	0	0	0	0	0	0	0	0	0	0
사고	0	1	0	0	0	1	0	1	1	0
우연한	0	1	0	0	0	1	0	0	1	0
우윤히	0	0	0	0	0	0	0	0	1	0
영예	1	0	0	1	0	0	1	0	1	1
수용하다	0	0	0	0	0	0	0	0	0	0
적응	1	0	0	0	0	0	0	0	0	0
반주	1	0	0	1	0	0	1	0	0	1
따르게 하다	0	0	0	0	0	0	0	0	0	0
따르는	0	0	0	0	0	0	0	0	0	0
공범자	0	0	0	0	0	0	0	0	0	0
달하다	1	0	0	0	0	0	1	0	0	0
뛰어난	1	0	0	0	0	0	1	0	0	0
성취	1	0	0	0	0	0	0	0	0	0
일치	1	0	0	0	0	0	0	0	0	1
일치	0	0	0	0	0	0	0	0	0	0
아코디언	0	0	0	0	0	0	0	0	0	0
계정	0	0	0	0	0	0	0	0	0	1
책임	1	0	0	0	0	0	0	0	0	1
책임감있는	1	0	0	0	0	0	0	0	0	1
회계사	0	0	0	0	0	0	0	0	0	1
회계	0	0	0	0	0	0	0	0	0	0
계정	0	0	0	0	0	0	0	0	0	1
공인 된	1	0	0	0	0	0	0	0	0	1
증가	0	0	0	0	0	0	0	0	0	0
생기다	0	0	0	0	0	0	0	0	0	0
